REGION,SETTLEMENTDATE,TOTALDEMAND,PRICECATEGORY
VIC1,1/01/2021 0:30,4179.21,LOW
VIC1,1/01/2021 1:00,4047.76,LOW
VIC1,1/01/2021 1:30,3934.7,LOW
VIC1,1/01/2021 2:00,3766.45,LOW
VIC1,1/01/2021 2:30,3590.37,LOW
VIC1,1/01/2021 3:00,3549.37,LOW
VIC1,1/01/2021 3:30,3504.17,LOW
VIC1,1/01/2021 4:00,3547.9,LOW
VIC1,1/01/2021 4:30,3579.11,LOW
VIC1,1/01/2021 5:00,3580.77,LOW
VIC1,1/01/2021 5:30,3557.25,LOW
VIC1,1/01/2021 6:00,3587.71,LOW
VIC1,1/01/2021 6:30,3569.7,LOW
VIC1,1/01/2021 7:00,3561.49,LOW
VIC1,1/01/2021 7:30,3447.65,LOW
VIC1,1/01/2021 8:00,3362.32,LOW
VIC1,1/01/2021 8:30,3340.47,LOW
VIC1,1/01/2021 9:00,3383.71,LOW
VIC1,1/01/2021 9:30,3379.61,LOW
VIC1,1/01/2021 10:00,3336.79,LOW
VIC1,1/01/2021 10:30,3333.31,LOW
VIC1,1/01/2021 11:00,3275.27,LOW
VIC1,1/01/2021 11:30,3291.46,LOW
VIC1,1/01/2021 12:00,3309.29,LOW
VIC1,1/01/2021 12:30,3355.37,LOW
VIC1,1/01/2021 13:00,3436.26,LOW
VIC1,1/01/2021 13:30,3607.43,LOW
VIC1,1/01/2021 14:00,3833.53,LOW
VIC1,1/01/2021 14:30,3836.59,LOW
VIC1,1/01/2021 15:00,4020.06,LOW
VIC1,1/01/2021 15:30,4208.16,LOW
VIC1,1/01/2021 16:00,4325.69,LOW
VIC1,1/01/2021 16:30,4541.39,LOW
VIC1,1/01/2021 17:00,4842.32,LOW
VIC1,1/01/2021 17:30,5019.64,LOW
VIC1,1/01/2021 18:00,4978.75,LOW
VIC1,1/01/2021 18:30,4932.58,LOW
VIC1,1/01/2021 19:00,4848.56,LOW
VIC1,1/01/2021 19:30,4819.74,LOW
VIC1,1/01/2021 20:00,4782.23,LOW
VIC1,1/01/2021 20:30,4777.06,LOW
VIC1,1/01/2021 21:00,4677.31,LOW
VIC1,1/01/2021 21:30,4575.36,LOW
VIC1,1/01/2021 22:00,4443.79,LOW
VIC1,1/01/2021 22:30,4302.33,LOW
VIC1,1/01/2021 23:00,4243.64,LOW
VIC1,1/01/2021 23:30,4429.74,LOW
VIC1,2/01/2021 0:00,4402.64,LOW
VIC1,2/01/2021 0:30,4227.55,LOW
VIC1,2/01/2021 1:00,4069.91,LOW
VIC1,2/01/2021 1:30,3923.1,LOW
VIC1,2/01/2021 2:00,3785.74,LOW
VIC1,2/01/2021 2:30,3721.07,LOW
VIC1,2/01/2021 3:00,3679.59,LOW
VIC1,2/01/2021 3:30,3676.08,LOW
VIC1,2/01/2021 4:00,3664.13,LOW
VIC1,2/01/2021 4:30,3612.31,LOW
VIC1,2/01/2021 5:00,3593.79,LOW
VIC1,2/01/2021 5:30,3606.79,LOW
VIC1,2/01/2021 6:00,3610.76,LOW
VIC1,2/01/2021 6:30,3628.61,LOW
VIC1,2/01/2021 7:00,3664.28,LOW
VIC1,2/01/2021 7:30,3644.05,LOW
VIC1,2/01/2021 8:00,3659.8,LOW
VIC1,2/01/2021 8:30,3747.56,LOW
VIC1,2/01/2021 9:00,3702.43,LOW
VIC1,2/01/2021 9:30,3760.8,LOW
VIC1,2/01/2021 10:00,3796.62,LOW
VIC1,2/01/2021 10:30,3774.32,LOW
VIC1,2/01/2021 11:00,3912.15,LOW
VIC1,2/01/2021 11:30,4111.87,LOW
VIC1,2/01/2021 12:00,4074.04,LOW
VIC1,2/01/2021 12:30,3980.83,LOW
VIC1,2/01/2021 13:00,3951.54,LOW
VIC1,2/01/2021 13:30,3908.84,LOW
VIC1,2/01/2021 14:00,4100.51,LOW
VIC1,2/01/2021 14:30,4273.54,LOW
VIC1,2/01/2021 15:00,4485.81,LOW
VIC1,2/01/2021 15:30,4597.49,LOW
VIC1,2/01/2021 16:00,4647.53,LOW
VIC1,2/01/2021 16:30,4791.04,LOW
VIC1,2/01/2021 17:00,4964.35,LOW
VIC1,2/01/2021 17:30,4950.69,LOW
VIC1,2/01/2021 18:00,4849.69,LOW
VIC1,2/01/2021 18:30,4839.92,LOW
VIC1,2/01/2021 19:00,4648.96,LOW
VIC1,2/01/2021 19:30,4591.87,LOW
VIC1,2/01/2021 20:00,4598.9,LOW
VIC1,2/01/2021 20:30,4586.47,LOW
VIC1,2/01/2021 21:00,4491.46,LOW
VIC1,2/01/2021 21:30,4449.49,LOW
VIC1,2/01/2021 22:00,4316.75,LOW
VIC1,2/01/2021 22:30,4264.71,LOW
VIC1,2/01/2021 23:00,4224.37,LOW
VIC1,2/01/2021 23:30,4425.38,LOW
VIC1,3/01/2021 0:00,4364.65,LOW
VIC1,3/01/2021 0:30,4171.83,LOW
VIC1,3/01/2021 1:00,4081.23,LOW
VIC1,3/01/2021 1:30,3981.67,LOW
VIC1,3/01/2021 2:00,3812.46,LOW
VIC1,3/01/2021 2:30,3774.99,LOW
VIC1,3/01/2021 3:00,3691.15,LOW
VIC1,3/01/2021 3:30,3653.81,LOW
VIC1,3/01/2021 4:00,3648.12,LOW
VIC1,3/01/2021 4:30,3664.43,LOW
VIC1,3/01/2021 5:00,3682.09,LOW
VIC1,3/01/2021 5:30,3716.96,LOW
VIC1,3/01/2021 6:00,3733.06,LOW
VIC1,3/01/2021 6:30,3820.91,LOW
VIC1,3/01/2021 7:00,3885.2,LOW
VIC1,3/01/2021 7:30,3910.05,LOW
VIC1,3/01/2021 8:00,3981.19,LOW
VIC1,3/01/2021 8:30,4103.44,LOW
VIC1,3/01/2021 9:00,4158.87,LOW
VIC1,3/01/2021 9:30,4084.4,LOW
VIC1,3/01/2021 10:00,3985.17,LOW
VIC1,3/01/2021 10:30,3806.67,LOW
VIC1,3/01/2021 11:00,3692.03,LOW
VIC1,3/01/2021 11:30,3667.96,LOW
VIC1,3/01/2021 12:00,3606.84,LOW
VIC1,3/01/2021 12:30,3509.14,LOW
VIC1,3/01/2021 13:00,3419.52,LOW
VIC1,3/01/2021 13:30,3283.99,LOW
