Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/01/2021,15.6,29.9,0,2.8,9.3,NNE,31,13:14,19.2,77,6,N,2,1018.8,28.1,43,5,E,13,1015.3
2/01/2021,18.4,29,0,9.4,1.3,NNW,30,8:22,23.3,52,7,NNW,17,1013.3,28.7,38,7,SW,4,1008.5
3/01/2021,17,26.2,12.6,4.8,7.1,WSW,33,17:55,18.3,100,8,WSW,4,1007.7,23.5,59,4,SSW,2,1005.2
4/01/2021,16,18.6,2.6,3.8,0,SSE,41,16:03,16.2,98,8,SSE,11,1010,18.2,82,8,SSW,17,1011
5/01/2021,15.9,19.1,11.2,1,0,SSE,35,11:02,17.2,96,8,SSE,13,1012.5,18.2,82,8,SSE,19,1013.3
6/01/2021,13.7,19.2,1.2,1,3.2,S,35,14:56,15.2,72,7,S,11,1020,18.1,63,7,SSW,17,1020
7/01/2021,14.7,25.7,0,3.6,12.1,SSE,44,13:21,18.6,70,4,SSE,13,1023.9,24.3,46,4,SSE,20,1022
8/01/2021,12.7,24.3,0,9.8,13.1,SSW,31,15:04,18.6,59,1,NE,6,1024.8,23.1,53,1,SSW,11,1022.2
9/01/2021,14.2,27.9,0,7,12.9,NNW,30,9:46,19.7,69,1,NNE,11,1022,24.4,59,2,SSW,11,1019.3
10/01/2021,16.9,33.5,0,8,9.6,E,24,19:16,19.3,85,8,NNE,6,1020.4,26.7,60,1,SW,11,1015.9
11/01/2021,19.2,36.7,0,10.8,9.8,N,52,14:55,29.4,32,2,NNE,15,1012.3,35.2,21,7,N,20,1008.5
12/01/2021,18.3,21.6,0,13.6,7.7,SSW,41,15:01,18.7,69,8,S,13,1016.3,20.1,60,1,SSW,17,1015.8
